it	一
it-to-liong2-tuan	一刀兩斷
tsit8-e	一下
tsit8 gueh8-jit8	一月日
tsit8 geh8-lit	一月日
tsit8-jit8-kau3-am3	一日到暗
tsit8-lit8-kau3-am	一日到暗
tsit8-si3-lang	一世人
tsit8-puann	一半
tsit8-puann3-e5-a	一半个仔
tsit8-puann3-jit8-a2	一半日仔
tsit8-puann3-lit8-a	一半日仔
tsit8-si3-ke	一四界
it-tan	一旦
it-sing	一生
tsit8 kah8-tsi	一甲子
tsit8-pah8 khong3-it	一百空一
it--lai	一來
it-ting	一定
it-tit	一直
it-lut	一律
it-ti	一致
tsit8-bin	一面
tsit8-pu5-sai	一垺屎
tsit8-sut8-a	一屑仔
tsit8-ke8-hue2-a2	一家伙仔
tsit8-ke8-he2-a	一家伙仔
it-puann	一般
it-liap8-it	一粒一
tsit8-khun3-a	一睏仔
it-khai	一概
tsit8-loo	一路
tsit8-kua	一寡
tsit8-kua2-a	一寡仔
tsit8-tui3-si	一對時
tsit8-tiap8-a2-ku	一霎仔久
tsit8-tiam2-a	一點仔
tsit8-hak8-sai	一礐屎
tsit8-tak8-ku2-a	一觸久仔
it	乙
ting	丁
tshit	七
kau	九
kiu	九
liau	了
ji7	二
li	二
jin5	人
lin	人
jip8	入
lip	入
pat	八
peh	八
pueh	八
to	刀
tiau	刁
lat	力
lik	力
tsap	十
sip	十
pok	卜
iu	又
tsap8-it8-ko	十一哥
liau2-liau	了了
lang5-lang	人人
tsap8-ji7-hun7	十二分
tsap8-li7-hun	十二分
tsap8-ji7 senn7-siunn3	十二生相
tsap8-li7 sinn7-siunn	十二生相
sip8-ji7-tsi2-tng5	十二指腸
sip8-li7-tsi2-tng	十二指腸
Ji7-kau2-me5	二九暝
Li7-kau2-mi	二九暝
sip8-pat8-tau5-a	十八骰仔
tsap8-peh8-pian3	十八變
tsap8-pueh8-pian	十八變
tshit-siah	七夕
liau2-kang	了工
lang5-kang	人工
lang5-tsai	人才
jip8-thoo2	入土
lip8-thoo	入土
thiau-kang	刁工
jin5-tiong5	人中
lin5-tiong	人中
tshit-khong	七孔
kau2-khang	九孔
ji7-tshiu2	二手
li7-tshiu	二手
jip8-bok8	入木
lip8-bok	入木
pat-sian	八仙
to-a	刀仔
pat-sian-toh	八仙桌
pat-sian-tshai	八仙綵
tiau-koo2-tong	刁古董
liau2-pun	了本
jin5-bin5	人民
lin5-bin	人民
jin5-sing5	人生
lin5-sing	人生
to-tsioh	刀石
tsap8-tsng	十全
sip8-tsuan	十全
peh-ji7	八字
pueh7-li	八字
tshit-ji7-a2	七字仔
tshit2-li7-a	七字仔
sip8-ji7-ke3	十字架
sip8-li7-ke	十字架
pat-ji7-kha7	八字跤
pat7-li7-kha	八字跤
sip8-ji7-loo7	十字路
sip8-li7-loo	十字路
tshit-tsa2-peh2-tsa2	七早八早
tshit2-tsa2-pueh2-tsa	七早八早
jip8-ni2	入耳
lip8-ni	入耳
to-bah	刀肉
tshit-lau7-peh7-lau7	七老八老
tshit7-lau7-pueh7-lau	七老八老
liau2-bue2-a2-kiann2	了尾仔囝
liau2-be2-a2-kiann	了尾仔囝
ji7-poo7-tshit7-a2	二步七仔
2-2-li7-poo7-tshit7-a	二步七仔
peh-kak	八角
pueh-kak	八角
tsap8-tsiok	十足
kiu2-kiong2-a	九芎仔
jin5-su7	人事
lin5-su	人事
pat-kua	八卦
pok-kua	卜卦
ji7-pang5	二房
li7-pang	二房
jin5-but8	人物
lin5-but	人物
tsap8-hue8-goo7-sik	十花五色
jip8-mng5	入門
lip8-mng	入門
lang5-kheh	人客
liau2-au	了後
tshit-tshenn	七星
tshit-tshinn	七星
ji7-tsainn2	二指
li7-tsainn	二指
tiau-ti	刁持
tiau-koo3-i	刁故意
to-penn3	刀柄
to3-pinn	刀柄
pat-tin	八珍
lang5-bin	人面
jin5-lun5	人倫
lin5-lun	人倫
jin5-uan5	人員
lin5-uan	人員
jip8-tshu3	入厝
lip8-tshu	入厝
Tshit-niu5-ma	七娘媽
Tshit-niu5-ma2-senn2	七娘媽生
Tshit2-niu5-ma2-sinn	七娘媽生
jin5-ke5	人家
lin5-ke	人家
jin5-ke5-tshu3-a2	人家厝仔
lin5-ke5-tshu3-a	人家厝仔
pat-ka-tsiong	八家將
jin5-keh5	人格
lin5-keh	人格
jin5-khi3	人氣
lin5-khi	人氣
to-tiam	刀砧
jin5-ma2	人馬
lin5-ma	人馬
jip8-inn7	入院
lip8-inn	入院
jin5-sim5	人參
lin5-sim	人參
jin5-tsing5	人情
lin5-tsing	人情
jin5-tsing5-se3-su7	人情世事
lin5-tsing5-se3-su	人情世事
jip8-kau3	入教
lip8-kau	入教
jin5-bong7	人望
lin5-bong	人望
jin5-tso7	人造
lin5-tso	人造
to-tshui	刀喙
jip8-tiunn5	入場
lip8-tiunn	入場
liau2-jian5	了然
liau2-lian	了然
lik8-liong	力量
thiau-i3-koo	刁意故
Tshit-ia	七爺
to-khing	刀銎
iu7-koh	又閣
lang5-iann	人影
kau2-tsan3-thah	九層塔
lang5-pan	人範
lang5-ian	人緣
jip8-oh8	入學
lip8-oh	入學
jip8-suan2	入選
